post_id,text,num_likes
90,,0
89,,0
86,,0
85,,0
83,,0
82,,4
81,,1
80,,0
79,,1
78,,0
77,,0
76,,0
73,,0
72,,0
69,И снова здрасте! Давно я не была в сети и за это время у меня родилась дочь (аж третия уже) Дарья! Поздравления принимаются!!!,0
16,,1
6,,1
5,,2
1,,14
